College,Branch,Category,ClosingRank,Percentile,CollegeShort
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,GOBCH,174255,7.496642,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,GOPENH,151486,29.1560732,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,GSEBCH,179056,0.8560505,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,LOBCH,172735,9.3921759,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,LOPENH,102918,60.2921536,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur",CSE,LSCH,173042,8.8496667,APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GNT2H,140185,38.4109612,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GNT2O,144604,34.805294,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GOBCH,176905,3.895894,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GOBCO,166783,15.6816655,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GOPENH,90666,66.0164943,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GOPENO,87157,67.8440824,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GSEBCO,154905,27.1291039,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,GVJH,122554,49.6193645,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,LNT3O,121969,50.0353239,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,LOBCH,160398,21.6221843,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,LOBCO,133978,42.2207447,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Artificial Intelligence (AI) and Data Science,LOPENO,78690,71.5965758,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GNT1O,164929,17.7533973,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GNT2O,128923,45.521922,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GNT3H,150960,29.6395567,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GOBCH,126661,47.0113809,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GOBCO,133693,42.2216419,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GOPENO,94079,64.9513096,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GSCH,168236,14.0490445,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GSCO,149494,30.9687071,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GSEBCH,177392,3.1992114,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,GSEBCO,175036,6.2795808,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,LOBCH,123475,48.777949,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,LOBCO,73251,73.7956676,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,LOPENO,52300,81.8420405,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,LSCO,124176,48.6138054,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",CSE,LSEBCH,138030,39.5390798,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Electrical,GNT2H,144433,34.8626522,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Electrical,GOBCH,170846,11.4731237,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Electrical,GSCH,116874,52.814879,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Electrical,GSEBCH,172044,9.8530334,Abhinav Education Society's College of Engineering and Technology (Degree)
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Electrical,LOPENH,159196,22.5020163,Abhinav Education Society's College of Engineering and Technology (Degree)
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,GOBCH,158999,22.5662265,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",CSE,GOPENH,152912,28.0884374,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology
